Date,Account,daily_pnl,daily_volume,total_trades,winning_trades,losing_trades,long_trades,short_trades,avg_leverage,max_leverage,win_rate,long_short_ratio,Classification,Sentiment_Value
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,477.0,3,0,0,0,0,1.0,1.0,,0.0,Greed,63
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,50005.83,9,0,0,0,0,6.176856491200485,26.75245530137402,,0.0,Extreme Greed,75
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-205.43473700000007,113203.35,11,4,2,0,0,11.32393308549561,27.720590721338464,66.66666666666666,0.0,Greed,72
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-24.632033999999997,10609.95,2,0,2,0,0,5.823450801104224,7.319415092260132,0.0,0.0,Greed,70
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,15348.77,3,0,0,0,0,5.616288292433957,6.626130281691678,,0.0,Greed,67
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,304.982785,116278.02,14,7,4,0,0,9.272895294441383,33.56094113555736,63.63636363636363,0.0,Greed,73
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,31164.179999999997,2,0,0,0,0,17.595426884556574,34.19085376911315,,0.0,Greed,65
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1000.5386120000001,91602.41,15,10,0,0,0,6.804148526614257,30.019563813246446,100.0,0.0,Greed,73
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,162.732282,141636.79,18,8,0,0,0,8.687824999362084,25.912644972225106,100.0,0.0,Greed,74
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,537.211402,125233.97,49,26,1,0,0,2.9465840721537844,6.92506517246057,96.29629629629629,0.0,Greed,70
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,141.832675,88874.28,10,2,0,0,0,9.939931475060131,29.92984602306379,100.0,0.0,Greed,74
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,146.936704,78438.25,13,8,0,0,0,6.769574140389077,11.565866887033069,100.0,0.0,Greed,70
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1008.619956,402954.94,39,15,2,0,0,11.218827214671627,50.0,88.23529411764706,0.0,Greed,71
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-245.081348,59948.51,3,0,1,0,0,21.93583686913414,32.7691676410884,0.0,0.0,Greed,73
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-704.8892269999999,171411.06,28,4,9,0,0,6.856757427094936,16.08409563633216,30.76923076923077,0.0,Greed,73
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-970.730876,100117.25,23,0,13,0,0,4.806657028626812,9.784639980609615,0.0,0.0,Greed,73
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,508.92214299999995,569559.72,50,15,5,0,0,12.59514488989508,34.65279116403257,75.0,0.0,Greed,65
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,354.998648,702550.21,52,23,10,0,0,14.275964243531138,50.0,69.6969696969697,0.0,Greed,68
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-129.53146,264239.52999999997,18,1,5,0,0,15.669803721766701,50.0,16.666666666666664,0.0,Greed,65
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,783.979116,121348.74,17,8,1,0,0,7.756471586785685,50.0,88.88888888888889,0.0,Greed,71
2024-01-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,866.015507,394499.36,67,28,7,0,0,6.515951341435058,50.0,80.0,0.0,Greed,70
2024-01-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-67.60364,99792.54000000001,5,0,3,0,0,21.132405850658134,50.0,0.0,0.0,Greed,68
2024-01-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,164.141565,1703942.66,66,13,10,0,0,23.132702427749578,50.0,56.52173913043478,0.0,Greed,72
